Магазин,Категория,Бренд,Модель,Цвет,RAM,ROM,Цена,Ссылка на изображение,Ссылка,Рейтинг,Кол-во отзывов,Код продукта
мтс,смартфоны,xiaomi,redmi note 8 pro,grey,6,128,20990,https://mtscdn.ru/upload/iblock/ee0/smartfon_xiaomi_redmi_note_8_pro_6_64gb_black_1.jpg/resize/260x260/,https://www.shop.mts.ru/product/smartfon-xiaomi-redmi-note-8-pro-6-128gb-black,4.4,4,none

dns,смартфоны,apple,iphone 12 mini,белый,4,64,69490,https://c.dns-shop.ru/thumb/st4/fit/200/200/61704c2e7c8cfdb923d7abfd4f9bac55/e67ca58430974586c876ec5407e060cb3a413c0d6a80747af99150f8bb859cff.jpg,https://www.dns-shop.ru/product/3087122e0da23332/54-smartfon-apple-iphone-12-mini-64-gb-belyj/,4.5,147,4722584
dns,смартфоны,apple,iphone 12 mini,красный,4,64,64399,https://c.dns-shop.ru/thumb/st1/fit/200/200/3c7a66c7bddaf14fa081487879bc979b/d97646879f66b4c8f4690107b503240f40a6b731ed6575fa7fbe4f0a7d0d63fc.jpg,https://www.dns-shop.ru/product/757398a80da23332/54-smartfon-apple-iphone-12-mini-64-gb-krasnyj/,4.5,147,4722587
dns,смартфоны,apple,iphone 12 mini,синий,4,64,64399,https://c.dns-shop.ru/thumb/st1/fit/200/200/94cb2ca68069425a4526ec8ba1be1a3d/2c7802acb6c6761f35e53b47a521f102f9d01998e0e98ad525580523cd20c869.jpg,https://www.dns-shop.ru/product/205388690da23332/54-smartfon-apple-iphone-12-mini-64-gb-sinij/,4.5,147,4722583
dns,смартфоны,apple,iphone 12 mini,черный,4,64,64399,https://c.dns-shop.ru/thumb/st1/fit/200/200/6d5386a360c7241c2379f2b8298a1d0c/a6a92b20eb8d75cd450cf76ee9c2e673a6f539b114f5efb0cc64d1413e5ef180.jpg,https://www.dns-shop.ru/product/3f9c7e030da23332/54-smartfon-apple-iphone-12-mini-64-gb-cernyj/,4.5,147,4722585
мтс,смартфоны,apple,iphone 12 mini,синий,0,128,50490,https://mtscdn.ru/upload/iblock/335/1000_ruru_iphone12mini_q121_blue_pdp_image_1b.jpg/resize/260x260/,https://www.shop.mts.ru/product/smartfon-apple-iphone-12-mini-128gb-sinij,4.1,4,none
мвидео,смартфоны,apple,iphone 12 mini,blue,0,64,69990,https://img.mvideo.ru/pdb/small_pic/480/30052873b.jpg,https://www.mvideo.ru/products/smartfon-apple-iphone-12-mini-64gb-blue-mge13ru-a-30052873,0.0,0,30052873
мвидео,смартфоны,apple,iphone 12 mini,white,0,64,50490,https://img.mvideo.ru/pdb/small_pic/480/30052871b.jpg,https://www.mvideo.ru/products/smartfon-apple-iphone-12-mini-64gb-white-mgdy3ru-a-30052871,0.0,0,30052871
мвидео,смартфоны,apple,iphone 12 mini,red,0,64,69990,https://img.mvideo.ru/pdb/small_pic/480/30052872b.jpg,https://www.mvideo.ru/products/smartfon-apple-iphone-12-mini-64gb-productred-mge03ru-a-30052872,0.0,0,30052872
мвидео,смартфоны,apple,iphone 12 mini,green,0,64,69990,https://img.mvideo.ru/pdb/small_pic/480/30052874b.jpg,https://www.mvideo.ru/products/smartfon-apple-iphone-12-mini-64gb-green-mge23ru-a-30052874,0.0,0,30052874

dns,смартфоны,sony,xperia 5 ii,синий,8,128,49999,https://c.dns-shop.ru/thumb/st1/fit/200/200/7d28727a0aedf945c15bf258f931eba3/ccd38d359ce2909f1e59438ddc1530d70d606403d1d757cee9c9113617593346.jpg,https://www.dns-shop.ru/product/33514c1efc6d1b80/61-smartfon-sony-xperia-5-ii-128-gb-sinij/,4.5,13,4714914
dns,смартфоны,sony,xperia 5 ii,черный,8,128,49999,https://c.dns-shop.ru/thumb/st1/fit/200/200/144445f5d74c0b3871744772fa684873/fed1e1d748092a34102df524629f6705719b2efb796bb6e8110fa18b572fa1f6.jpg,https://www.dns-shop.ru/product/f898fac3fc6c1b80/61-smartfon-sony-xperia-5-ii-128-gb-cernyj/,4.5,13,4714912
