ћагазин, атегори€,Ѕренд,ћодель,÷вет,RAM,ROM,÷ена,—сылка на изображение,—сылка,–ейтинг, ол-во отзывов, од продукта
мтс,смартфоны,apple,iphone 12 mini,черный,0,128,74990,https://mtscdn.ru/upload/iblock/646/1000_ruru_iphone12mini_q121_black_pdp_image_1b.jpg/resize/208x208/,https://www.shop.mts.ru/product/smartfon-apple-iphone-12-mini-128gb-chernyj,4.0,4,none
мтс,смартфоны,oppo,reno4 lite,blue,8,128,24990,https://mtscdn.ru/upload/iblock/dc6/reno4_lite_blue_pp_3.jpg/resize/208x208/,https://www.shop.mts.ru/product/smartfon-oppo-reno4-lite-8-128gb-blue,5.0,5,none
мтс,смартфоны,apple,iphone 11 Е,красный,0,256,69890,https://mtscdn.ru/upload/iblock/4ca/bez-nazvaniya.png/resize/208x208/,https://www.shop.mts.ru/product/smartfon-apple-iphone-11-new-256gb-krasnyj,0,0,none
мтс,смартфоны,apple,iphone 12 mini,синий,0,64,69990,https://mtscdn.ru/upload/iblock/468/1000_ruru_iphone12mini_q121_blue_pdp_image_1b.jpg/resize/208x208/,https://www.shop.mts.ru/product/smartfon-apple-iphone-12-mini-64gb-sinij,4.7,4,none
мтс,смартфоны,apple,iphone 12 pro max ЂтихоокеанскийЕ,синийї,0,128,109990,https://mtscdn.ru/upload/iblock/75d/ruru_iphone12promax_q121_pacificblue_pdp_image_1b.jpg/resize/208x208/,https://www.shop.mts.ru/product/smartfon-apple-iphone-12-pro-max-128gb-tikhookeanskij-sinij,4.8,4,none
мтс,смартфоны,nokia,150,cyan,0,0,2990,https://mtscdn.ru/upload/iblock/186/bez-nazvaniya.png/resize/208x208/,https://www.shop.mts.ru/product/mobilnyj-telefon-nokia-150-2020-dual-sim-cyan,0,0,none
мтс,смартфоны,nokia,150,red,0,0,2990,https://mtscdn.ru/upload/iblock/c78/bez-nazvaniya.png/resize/208x208/,https://www.shop.mts.ru/product/mobilnyj-telefon-nokia-150-2020-dual-sim-red,0,0,none
мтс,смартфоны,apple,iphone 12 pro max ЂтихоокеанскийЕ,синийї,0,512,139990,https://mtscdn.ru/upload/iblock/3b8/ruru_iphone12promax_q121_pacificblue_pdp_image_1b.jpg/resize/208x208/,https://www.shop.mts.ru/product/smartfon-apple-iphone-12-pro-max-512gb-tikhookeanskij-sinij,5.0,5,none
мтс,смартфоны,oppo,a53,blue,4,64,12990,https://mtscdn.ru/upload/iblock/bca/a53_blue_pp.jpg/resize/208x208/,https://www.shop.mts.ru/product/smartfon-oppo-a53-4-64gb-blue,5.0,5,none
мтс,смартфоны,apple,iphone 12 mini,red,0,256,84990,https://mtscdn.ru/upload/iblock/3cb/1000_ruru_iphone12mini_q121_product_red_pdp_image_1b.jpg/resize/208x208/,https://www.shop.mts.ru/product/smartfon-apple-iphone-12-mini-256gb-product-red,5.0,5,none
мтс,смартфоны,oppo,a12,blue,3,32,7990,https://mtscdn.ru/upload/iblock/4dc/0101_7406_min.png/resize/208x208/,https://www.shop.mts.ru/product/smartfon-oppo-a12-3-32gb-blue,5.0,5,none
мтс,смартфоны,texet,tm-406,red,0,0,2190,https://mtscdn.ru/upload/iblock/224/tm_406_1.jpg/resize/208x208/,https://www.shop.mts.ru/product/mobilnyj-telefon-texet-tm-406-dual-sim-red,0,0,none
